age,income,gender,time_spent,preferred_platform,interests,demographics,posts_per_week,exercise_hours
32,35797,male,1.0,Twitter,Fashion,Urban,14,2.0
40,49208,female,4.0,Facebook,Sports,Rural,9,7.5
59,45109,male,2.0,Facebook,Art,Urban,10,7.0
19,21644,male,4.5,Facebook,Food,Urban,0,7.0
56,89268,male,2.0,Twitter,Sports,Suburban,0,2.5
20,17433,female,4.0,Snapchat,Technology,Urban,6,5.5
59,56967,female,4.5,Instagram,Sports,Urban,12,0.5
47,79759,male,4.5,Facebook,Travel,Urban,10,9.5
26,50172,female,5.0,Facebook,Technology,Suburban,12,4.0
29,57344,male,2.0,TikTok,Sports,Suburban,2,1.5
48,86935,male,0.5,Instagram,Technology,Suburban,2,2.0
62,66589,male,1.5,Instagram,Food,Rural,14,10.0
52,80015,male,4.5,Facebook,Sports,Urban,4,3.5
16,27625,male,2.0,Snapchat,Art,Urban,14,10.5
14,16389,female,2.5,Twitter,Art,Suburban,10,4.5
18,26758,female,3.5,Facebook,Music,Suburban,5,3.0
54,91125,female,2.5,Facebook,Travel,Urban,1,10.5
16,24759,male,2.0,Instagram,Technology,Urban,2,6.5
41,46154,male,1.0,Snapchat,Music,Rural,5,2.0
30,51804,male,1.0,TikTok,Music,Rural,2,7.5
38,60581,male,2.0,Twitter,Fashion,Suburban,13,7.0
56,70087,female,5.0,Snapchat,Technology,Urban,4,2.0
46,99930,male,5.0,Facebook,Music,Rural,8,1.0
22,15213,female,4.5,Twitter,Fashion,Rural,11,4.5
48,53762,female,4.0,Twitter,Music,Suburban,2,2.0
26,43399,male,1.5,Facebook,Travel,Rural,11,7.0
43,49768,female,4.5,TikTok,Food,Rural,10,8.5
60,83408,female,2.5,Facebook,Fashion,Rural,12,3.5
27,36731,female,1.5,Instagram,Food,Rural,12,10.0
20,26128,female,2.5,Twitter,Technology,Suburban,5,0.5
26,49501,male,5.0,Twitter,Travel,Suburban,10,10.5
35,78559,male,2.0,Twitter,Fashion,Urban,4,3.5
52,98590,male,4.0,Facebook,Technology,Suburban,4,3.5
33,38783,male,2.5,Snapchat,Music,Suburban,10,1.5
28,43621,female,5.0,Twitter,Art,Rural,13,9.0
57,69781,male,4.0,Instagram,Sports,Urban,13,8.5
30,46019,female,4.5,TikTok,Technology,Suburban,5,10.0
59,75488,female,2.0,Snapchat,Food,Urban,5,0.0
65,38905,male,3.5,Facebook,Travel,Suburban,0,9.5
36,49127,male,1.0,Snapchat,Travel,Suburban,10,7.0
38,62431,female,3.0,Facebook,Technology,Urban,14,8.5
37,46368,female,4.0,Facebook,Music,Suburban,8,10.5
57,67424,female,3.5,Instagram,Sports,Urban,4,5.5
53,96824,male,3.5,TikTok,Food,Urban,0,0.0
41,58333,male,4.0,Facebook,Technology,Suburban,7,3.0
27,53116,male,3.5,Twitter,Technology,Urban,6,9.0
57,87219,male,2.5,Facebook,Art,Urban,6,0.0
13,22833,female,3.5,Snapchat,Travel,Urban,14,3.0
37,55525,female,5.0,Twitter,Food,Urban,13,0.5
19,22014,female,1.5,Twitter,Sports,Suburban,4,3.0
21,15089,female,2.5,Facebook,Travel,Urban,0,9.0
36,50361,female,3.5,Snapchat,Technology,Rural,8,6.0
13,27430,male,4.5,TikTok,Travel,Urban,10,2.0
56,43041,male,1.0,Twitter,Travel,Urban,8,9.0
20,15105,female,2.0,Instagram,Fashion,Urban,7,0.0
36,49078,male,3.5,TikTok,Travel,Suburban,4,0.0
23,23619,female,0.5,Facebook,Music,Suburban,13,8.5
63,46090,female,1.0,Snapchat,Travel,Rural,2,0.0
29,54892,male,4.5,TikTok,Music,Suburban,7,2.0
20,21082,female,5.0,Facebook,Food,Urban,0,4.0
47,99786,female,3.5,Instagram,Travel,Suburban,2,5.5
47,51925,female,5.0,Facebook,Sports,Rural,11,4.0
45,68440,female,3.5,Twitter,Music,Urban,10,8.5
17,21917,female,3.0,Twitter,Music,Urban,6,5.0
54,76015,male,1.5,Instagram,Technology,Suburban,13,0.0
51,83320,male,5.0,Instagram,Food,Urban,14,9.0
53,75291,female,1.5,Instagram,Travel,Rural,3,10.5
40,76679,female,1.0,Instagram,Art,Urban,6,4.5
19,24905,male,3.0,Facebook,Sports,Urban,11,0.5
21,29171,male,2.0,TikTok,Technology,Rural,10,3.0
20,18389,female,2.5,Facebook,Food,Rural,12,9.5
24,24299,female,1.5,TikTok,Music,Urban,13,0.5
46,63629,female,3.0,Twitter,Sports,Rural,4,9.0
45,74826,female,1.5,Instagram,Travel,Urban,5,2.5
60,75198,male,4.0,Snapchat,Art,Urban,13,4.5
35,66630,male,4.5,Twitter,Fashion,Rural,6,4.0
36,73226,female,2.0,Instagram,Fashion,Suburban,14,3.5
49,96163,male,4.5,Facebook,Food,Urban,12,5.0
47,82975,male,3.5,Instagram,Art,Urban,9,4.0
56,40899,male,1.5,Facebook,Sports,Suburban,11,9.5
52,61653,female,3.5,Facebook,Technology,Urban,6,9.5
34,57961,female,0.5,Instagram,Sports,Suburban,6,4.0
39,56405,male,1.5,Facebook,Art,Suburban,6,3.5
47,58601,male,3.0,Instagram,Music,Urban,10,7.0
13,15894,female,2.0,Facebook,Fashion,Suburban,12,0.5
47,83282,non-binary,3.5,Facebook,Food,Rural,12,0.0
49,71288,male,1.5,Facebook,Travel,Urban,6,4.0
59,69545,female,0.5,TikTok,Sports,Urban,2,4.0
26,34109,male,4.5,Facebook,Fashion,Urban,14,6.0
15,28258,female,3.0,Twitter,Technology,Suburban,11,3.5
13,22179,male,4.0,Facebook,Food,Rural,2,10.0
17,25326,male,1.5,TikTok,Travel,Urban,6,2.0
38,41560,female,4.0,Facebook,Sports,Urban,13,1.0
26,43612,female,1.0,TikTok,Technology,Urban,1,10.0
51,67650,male,2.0,Twitter,Travel,Suburban,13,1.5
39,66745,female,1.5,Facebook,Music,Urban,1,8.0
21,18638,male,5.0,TikTok,Fashion,Rural,2,7.5
27,55325,female,0.5,Twitter,Music,Urban,13,7.5
27,49811,male,3.5,Instagram,Fashion,Suburban,3,9.5
38,44780,female,5.0,Snapchat,Technology,Suburban,5,1.0
54,68311,male,1.0,TikTok,Music,Suburban,12,2.5
25,58380,female,2.0,Instagram,Fashion,Urban,7,0.0
63,84662,female,4.5,Instagram,Food,Suburban,9,10.0
44,42356,female,3.0,Snapchat,Technology,Urban,9,7.5
51,54790,female,4.0,Twitter,Fashion,Urban,6,7.0
61,66911,female,1.0,TikTok,Sports,Suburban,3,3.0
64,89458,male,3.5,Twitter,Fashion,Suburban,1,0.5
44,64363,male,3.0,Facebook,Music,Urban,1,4.5
16,18665,female,4.5,TikTok,Food,Urban,14,7.0
42,50181,male,3.5,Facebook,Travel,Rural,3,2.5
49,89825,female,0.5,Instagram,Travel,Rural,5,0.5
35,56082,non-binary,4.0,Twitter,Fashion,Urban,2,8.0
51,50661,male,5.0,Twitter,Travel,Suburban,5,0.0
57,77412,female,1.5,Facebook,Fashion,Urban,4,0.0
27,45711,male,1.0,Snapchat,Food,Suburban,4,1.5
55,42920,female,1.5,Instagram,Travel,Rural,1,9.5
41,65658,male,3.0,Instagram,Music,Urban,7,7.5
48,98770,male,1.5,Snapchat,Music,Suburban,4,3.5
25,57547,female,5.0,Instagram,Sports,Urban,10,0.0
44,54025,female,2.5,Facebook,Fashion,Suburban,1,9.0
19,23946,female,3.0,Facebook,Travel,Suburban,6,5.0
63,68706,female,4.0,TikTok,Music,Rural,12,8.0
34,42732,male,3.5,Facebook,Art,Urban,14,4.5
40,79004,female,4.0,Instagram,Food,Urban,8,5.5
14,21078,male,1.5,Twitter,Food,Urban,8,4.0
54,96286,female,2.0,Instagram,Art,Rural,0,3.0
57,73120,female,3.0,Facebook,Art,Suburban,6,5.5
65,60027,female,3.5,Twitter,Sports,Suburban,8,7.0
18,27080,female,4.5,Instagram,Food,Urban,5,3.5
40,47005,male,0.5,TikTok,Food,Rural,0,8.0
40,40956,female,4.0,Facebook,Travel,Rural,1,2.0
56,74839,male,4.0,Instagram,Fashion,Suburban,3,6.5
56,48595,female,3.0,Instagram,Technology,Urban,13,0.5
32,45140,male,2.0,Instagram,Food,Urban,3,7.5
42,52803,female,1.5,Twitter,Food,Suburban,1,8.0
23,25971,female,1.5,Facebook,Technology,Suburban,7,1.0
40,65963,male,3.0,Facebook,Food,Urban,1,0.0
37,76221,male,4.0,Snapchat,Travel,Suburban,2,8.5
51,89443,female,3.5,Twitter,Travel,Urban,13,8.5
45,83723,male,0.5,Instagram,Technology,Suburban,3,1.5
13,21295,male,3.0,Facebook,Music,Suburban,8,7.0
39,55282,male,3.5,Facebook,Food,Urban,9,9.0
64,44703,male,3.5,Facebook,Music,Suburban,0,9.0
25,36563,female,4.5,Facebook,Food,Urban,7,4.5
53,75849,female,5.0,Twitter,Fashion,Urban,11,2.0
15,20631,male,2.5,TikTok,Food,Rural,14,9.0
51,62003,male,0.5,Instagram,Travel,Urban,13,5.0
18,25817,male,1.0,Instagram,Sports,Urban,4,3.0
20,25574,male,2.0,Facebook,Art,Urban,6,2.0
39,66017,male,2.5,Instagram,Sports,Urban,7,9.5
21,26171,male,4.5,Facebook,Sports,Urban,14,5.5
49,95350,male,0.5,TikTok,Sports,Urban,4,9.0
45,62201,female,1.5,Twitter,Art,Suburban,7,7.0
63,69426,male,2.5,TikTok,Music,Urban,9,5.5
54,67778,female,1.5,TikTok,Art,Suburban,10,1.5
56,85241,female,2.0,Instagram,Music,Urban,7,5.5
36,61116,female,1.5,Twitter,Art,Urban,8,8.5
27,59963,female,2.0,Facebook,Art,Urban,1,8.0
44,73297,female,0.5,Instagram,Food,Rural,2,9.0
44,59342,female,4.0,TikTok,Music,Suburban,0,7.5
36,67490,female,2.0,Facebook,Food,Suburban,3,5.0
53,69975,female,3.5,TikTok,Fashion,Urban,14,0.5
64,66723,female,1.0,Instagram,Food,Rural,14,7.5
61,63279,female,1.0,TikTok,Sports,Urban,4,0.0
61,52765,male,3.0,TikTok,Technology,Urban,10,8.0
64,86678,male,1.0,Twitter,Technology,Suburban,0,8.5
24,26561,male,3.0,Twitter,Travel,Urban,7,6.0
51,91899,female,1.0,Instagram,Travel,Rural,1,2.0
14,15525,female,2.0,Snapchat,Food,Urban,0,2.5
15,21477,female,3.5,TikTok,Art,Rural,1,0.0
61,89153,female,4.0,Snapchat,Art,Suburban,14,4.5
49,83142,male,1.5,Twitter,Technology,Suburban,12,2.0
61,66916,male,4.5,Twitter,Sports,Urban,4,0.0
29,42197,female,1.0,Snapchat,Music,Urban,8,5.0
61,44648,female,4.0,Twitter,Sports,Rural,8,3.0
14,17365,non-binary,4.0,Snapchat,Sports,Urban,1,8.5
14,16525,male,2.0,Twitter,Food,Suburban,1,10.0
40,70523,female,0.5,Facebook,Food,Rural,2,9.5
35,69052,female,0.5,Instagram,Fashion,Urban,6,10.0
49,84414,female,1.0,Instagram,Sports,Suburban,10,4.5
44,72781,female,4.5,Facebook,Art,Suburban,2,7.0
45,54599,female,1.0,Facebook,Art,Urban,0,1.5
13,17278,male,1.0,Twitter,Sports,Urban,13,7.5
31,44296,female,3.0,Facebook,Food,Urban,13,7.0
14,18155,female,3.5,Instagram,Food,Urban,13,7.0
65,33814,female,3.5,Snapchat,Fashion,Suburban,5,5.5
56,85893,female,4.5,TikTok,Fashion,Urban,2,3.5
38,75984,male,3.0,Snapchat,Travel,Rural,0,3.5
44,66616,male,4.0,TikTok,Technology,Urban,13,8.5
18,23219,non-binary,3.0,Twitter,Sports,Suburban,12,2.5
44,42113,female,1.0,Instagram,Art,Suburban,3,2.0
16,24444,female,0.5,Twitter,Sports,Urban,12,0.5
23,19356,male,2.5,Snapchat,Fashion,Urban,0,5.5
29,40238,female,4.5,Instagram,Fashion,Suburban,0,1.5
50,63760,female,4.0,Facebook,Travel,Rural,11,6.0
36,61927,female,2.0,Snapchat,Technology,Urban,1,8.0
17,19555,male,2.5,Facebook,Travel,Urban,9,7.5
64,72419,female,2.5,Twitter,Art,Urban,7,4.0
46,62588,female,3.0,Facebook,Technology,Urban,1,0.0
18,22062,male,1.5,Twitter,Music,Suburban,10,7.0
34,33374,female,2.5,Twitter,Sports,Rural,1,5.5
23,21430,female,1.0,Facebook,Travel,Urban,14,2.0
60,84738,female,5.0,Instagram,Fashion,Rural,10,8.5
28,30629,female,0.5,Twitter,Travel,Urban,10,9.5
45,66653,male,0.5,Snapchat,Music,Suburban,9,0.5
21,25831,male,5.0,TikTok,Travel,Urban,9,1.5
18,25185,male,3.5,Instagram,Sports,Urban,7,7.0
28,35724,male,1.0,Snapchat,Music,Urban,11,2.5
41,51083,female,2.0,Instagram,Fashion,Urban,5,10.5
15,28149,male,2.5,Instagram,Fashion,Suburban,11,5.5
32,49816,female,3.5,Facebook,Food,Suburban,10,8.5
48,92240,non-binary,1.0,Twitter,Music,Urban,3,9.5
31,36276,female,3.0,Instagram,Food,Rural,2,1.5
38,78663,female,0.5,Facebook,Food,Urban,0,0.0
15,28994,female,3.5,Twitter,Sports,Suburban,10,7.0
31,53499,female,4.5,Snapchat,Travel,Urban,2,8.5
32,53040,male,2.5,Instagram,Fashion,Urban,11,6.5
44,56959,male,2.5,Facebook,Fashion,Urban,13,1.0
19,22029,female,2.0,Instagram,Travel,Suburban,8,7.0
64,46099,female,1.5,Instagram,Fashion,Suburban,4,2.0
53,92267,female,4.5,Twitter,Travel,Urban,12,10.5
45,69576,female,2.5,Instagram,Music,Urban,5,1.0
52,85946,female,4.0,Twitter,Sports,Urban,4,10.5
51,56116,male,4.5,TikTok,Sports,Suburban,0,3.0
30,45563,non-binary,2.5,Facebook,Art,Suburban,9,2.5
52,76788,female,5.0,TikTok,Sports,Urban,0,10.5
13,25544,male,4.5,Instagram,Travel,Urban,3,0.0
23,18568,female,1.0,Instagram,Art,Suburban,14,9.0
40,49847,male,4.5,Instagram,Travel,Urban,2,3.0
37,66155,female,2.0,Facebook,Technology,Urban,10,1.5
62,54135,female,3.0,Facebook,Art,Urban,7,5.5
35,57774,male,3.0,Instagram,Fashion,Urban,11,9.5
43,41742,female,3.0,Snapchat,Fashion,Suburban,11,8.5
42,58309,female,1.0,TikTok,Technology,Suburban,6,4.0
54,50619,male,3.5,Twitter,Technology,Urban,14,9.0
47,67658,male,3.0,Facebook,Sports,Suburban,10,10.5
19,15956,female,0.5,Twitter,Technology,Urban,14,1.5
28,31939,male,1.0,Twitter,Travel,Rural,6,0.0
38,60337,male,3.5,Snapchat,Food,Suburban,14,4.0
60,56001,male,0.5,Snapchat,Travel,Suburban,7,7.0
64,40968,male,0.5,TikTok,Art,Urban,13,10.5
61,87614,female,0.5,Instagram,Technology,Urban,9,3.5
14,24508,female,4.0,Twitter,Fashion,Urban,6,7.0
13,24235,male,2.0,Instagram,Travel,Suburban,9,7.0
60,40281,female,2.0,TikTok,Fashion,Urban,1,8.5
24,26036,male,1.0,Facebook,Travel,Rural,3,3.0
17,21262,female,0.5,Facebook,Fashion,Rural,14,10.5
49,51058,non-binary,5.0,Facebook,Music,Suburban,10,8.5
44,60677,male,4.5,Snapchat,Travel,Rural,5,7.5
21,25724,female,3.5,Instagram,Art,Urban,2,0.5
53,78404,female,2.0,Instagram,Fashion,Urban,14,1.5
47,87946,male,3.0,TikTok,Food,Urban,2,9.5
31,36980,male,1.0,TikTok,Art,Suburban,14,7.5
60,69856,male,3.5,Instagram,Sports,Urban,5,1.0
28,39200,female,1.0,Facebook,Travel,Rural,0,0.5
15,16229,non-binary,5.0,Snapchat,Food,Urban,13,1.0
32,55611,female,4.0,TikTok,Sports,Urban,0,2.0
36,75057,female,4.0,Twitter,Travel,Rural,4,0.5
45,51239,female,0.5,Twitter,Food,Urban,0,9.0
36,78138,female,4.0,Instagram,Food,Urban,9,9.5
64,88938,female,1.0,Snapchat,Art,Suburban,7,0.5
23,15125,male,3.0,Twitter,Music,Urban,1,0.5
61,85272,female,0.5,Twitter,Food,Urban,5,10.5
20,22473,female,2.5,Facebook,Music,Urban,9,9.5
48,65398,male,3.5,TikTok,Technology,Urban,9,8.5
50,56638,female,5.0,Twitter,Art,Rural,4,9.5
52,56570,male,0.5,Facebook,Fashion,Rural,9,10.0
32,33249,female,1.0,Twitter,Art,Urban,11,6.5
47,59110,female,3.5,Twitter,Sports,Urban,11,7.0
60,80363,male,3.0,Twitter,Fashion,Urban,3,5.5
37,53605,male,1.5,Snapchat,Fashion,Rural,0,5.0
47,62115,male,5.0,Twitter,Music,Urban,13,5.0
37,79062,female,1.0,TikTok,Fashion,Urban,13,3.0
41,62911,male,5.0,Facebook,Food,Suburban,2,5.5
30,35757,female,2.0,Facebook,Music,Rural,12,7.5
58,72556,male,1.5,Facebook,Fashion,Urban,11,2.0
30,42595,non-binary,3.5,Twitter,Music,Urban,3,0.5
14,28647,female,4.0,Twitter,Technology,Urban,1,10.5
47,51969,female,1.0,TikTok,Music,Urban,11,7.5
28,40985,female,5.0,Snapchat,Travel,Suburban,1,7.0
53,67275,female,3.5,Twitter,Food,Suburban,1,5.0
48,54470,female,4.0,TikTok,Sports,Suburban,10,2.5
45,60225,male,3.0,Instagram,Travel,Urban,0,6.0
16,24556,male,3.0,Snapchat,Travel,Urban,9,9.0
45,91974,male,5.0,Instagram,Travel,Urban,1,4.5
26,39991,male,0.5,Twitter,Fashion,Urban,5,9.0
33,53196,male,2.0,Snapchat,Music,Suburban,2,2.0
60,80287,female,0.5,Twitter,Music,Urban,9,10.0
32,43669,non-binary,2.0,Facebook,Art,Urban,4,3.0
20,19612,male,1.0,Instagram,Fashion,Urban,0,5.0
19,24710,female,2.5,Twitter,Food,Urban,7,6.5
15,27373,male,5.0,Snapchat,Fashion,Urban,12,10.0
29,47582,female,4.5,Instagram,Fashion,Rural,3,7.5
45,98320,female,5.0,TikTok,Fashion,Urban,8,8.5
60,87414,female,1.5,Instagram,Food,Suburban,3,10.0
24,20238,non-binary,4.0,Twitter,Art,Urban,13,1.5
63,55577,male,1.5,Snapchat,Food,Urban,14,0.0
34,57050,female,3.0,Twitter,Technology,Rural,14,10.5
34,52473,female,2.0,TikTok,Art,Urban,14,7.0
58,68625,male,4.0,Twitter,Technology,Suburban,1,6.5
42,55504,female,3.0,Twitter,Technology,Urban,2,9.0
50,74089,male,4.0,Facebook,Technology,Suburban,4,2.0
50,86487,female,0.5,Instagram,Music,Suburban,11,1.5
57,40302,male,3.0,Instagram,Travel,Rural,9,6.0
63,71463,male,0.5,Snapchat,Travel,Rural,14,8.5
20,27144,female,0.5,Facebook,Technology,Suburban,12,5.5
39,69259,female,4.0,Facebook,Technology,Urban,12,10.0
39,77208,male,3.5,Facebook,Sports,Suburban,13,7.0
46,80659,male,1.5,Facebook,Travel,Suburban,5,4.0
33,33072,female,3.0,Instagram,Sports,Urban,6,1.5
42,71890,male,4.5,TikTok,Art,Urban,3,2.0
45,63598,male,3.5,Snapchat,Sports,Rural,6,4.0
40,59508,female,1.5,Snapchat,Fashion,Urban,14,6.0
59,82287,female,3.0,Snapchat,Music,Urban,9,4.5
45,63380,male,2.0,Instagram,Art,Rural,2,7.5
17,25600,female,1.5,TikTok,Food,Urban,6,6.0
60,84633,female,4.5,Facebook,Travel,Urban,3,1.5
31,38125,female,5.0,Instagram,Technology,Suburban,12,10.0
16,18291,female,1.0,Twitter,Art,Urban,12,6.0
47,54033,male,0.5,Facebook,Technology,Suburban,7,10.0
61,77873,male,1.0,Snapchat,Food,Urban,8,3.5
29,47087,male,3.5,Instagram,Art,Urban,6,6.0
56,80901,female,5.0,Snapchat,Travel,Urban,7,7.0
40,45704,male,0.5,Instagram,Art,Rural,7,9.5
42,47848,female,3.0,Facebook,Technology,Urban,1,9.5
41,61592,male,3.5,Snapchat,Technology,Urban,8,6.0
58,85743,male,4.5,Instagram,Fashion,Urban,5,2.0
65,36924,female,4.0,Instagram,Sports,Urban,10,10.5
18,25824,male,3.0,Facebook,Art,Urban,3,10.5
47,69614,male,1.5,Twitter,Technology,Urban,14,2.5
53,50488,female,4.0,Twitter,Music,Suburban,4,2.0
49,89882,male,3.5,Instagram,Travel,Urban,9,6.0
36,65923,female,1.5,TikTok,Music,Suburban,4,2.0
41,75941,female,4.5,TikTok,Food,Suburban,6,6.0
61,69165,male,1.0,Snapchat,Art,Urban,13,9.5
58,41667,female,1.5,Snapchat,Fashion,Urban,8,3.5
65,56213,female,1.0,Instagram,Travel,Suburban,6,4.0
43,44114,male,0.5,Twitter,Fashion,Suburban,8,10.0
47,86321,male,2.0,Facebook,Sports,Urban,3,9.0
45,57761,male,2.5,Facebook,Technology,Rural,9,9.5
64,71116,female,3.0,TikTok,Travel,Urban,13,7.0
33,31000,male,2.5,Twitter,Food,Urban,9,10.5
44,65426,female,0.5,Instagram,Art,Urban,3,4.5
35,57772,female,1.5,Instagram,Sports,Rural,5,5.0
45,88218,female,0.5,Twitter,Sports,Suburban,7,2.0
15,18712,male,2.5,Facebook,Fashion,Suburban,13,4.0
30,31367,male,2.5,Facebook,Sports,Urban,8,5.0
37,66200,female,3.0,Facebook,Travel,Urban,0,9.0
54,53726,male,4.0,Instagram,Fashion,Urban,0,0.5
43,63616,male,5.0,Twitter,Sports,Rural,12,2.5
15,26339,male,0.5,Facebook,Art,Urban,7,10.0
52,87574,male,2.0,Snapchat,Food,Urban,10,0.0
58,74958,female,5.0,Facebook,Art,Urban,6,1.0
36,49108,male,0.5,Twitter,Music,Rural,8,1.0
62,52178,male,4.5,TikTok,Travel,Urban,10,6.5
44,75643,male,3.5,Twitter,Food,Urban,2,9.5
59,71324,female,3.5,TikTok,Food,Urban,9,10.5
34,35592,female,2.5,TikTok,Fashion,Rural,11,2.0
35,57824,male,3.5,Instagram,Technology,Rural,4,8.0
14,27592,female,1.0,Snapchat,Fashion,Suburban,2,7.0
39,48927,female,2.0,TikTok,Travel,Urban,14,2.5
54,78144,female,3.5,Instagram,Travel,Urban,4,6.5
14,29626,female,1.5,Instagram,Fashion,Rural,9,6.5
38,62443,male,1.0,TikTok,Technology,Urban,0,8.0
29,44437,male,5.0,Snapchat,Art,Urban,13,3.5
52,94298,male,1.0,Facebook,Fashion,Urban,10,3.5
45,89778,male,0.5,Instagram,Travel,Rural,3,9.0
21,26207,non-binary,2.5,Snapchat,Technology,Urban,5,4.0
55,65537,male,3.0,Twitter,Travel,Suburban,1,5.0
60,75757,male,3.0,Twitter,Technology,Rural,12,6.0
51,62040,female,4.5,Snapchat,Technology,Urban,6,6.0
41,62612,female,2.0,Twitter,Fashion,Urban,7,9.0
54,78441,male,0.5,Twitter,Fashion,Rural,0,10.0
38,46471,male,3.0,Snapchat,Fashion,Rural,12,9.0
47,85631,male,2.5,Snapchat,Technology,Rural,3,2.0
62,83461,female,5.0,Twitter,Technology,Suburban,10,7.5
37,66523,male,3.0,Instagram,Travel,Urban,3,4.0
36,71348,male,1.5,Instagram,Food,Rural,12,9.5
25,31177,female,1.0,TikTok,Fashion,Urban,4,10.5
19,19760,male,3.0,Facebook,Music,Rural,13,1.0
48,82779,female,0.5,Instagram,Travel,Rural,11,9.0
57,61636,female,3.5,Instagram,Travel,Suburban,11,2.0
32,46353,male,3.5,Snapchat,Sports,Rural,3,3.5
13,19399,female,5.0,Facebook,Fashion,Suburban,8,6.5
20,26556,female,3.5,Instagram,Art,Urban,6,1.0
58,67598,male,5.0,Facebook,Travel,Suburban,12,6.0
28,41563,female,0.5,Snapchat,Sports,Urban,1,5.0
26,44051,female,2.0,Facebook,Music,Suburban,0,3.5
24,26022,female,3.5,Instagram,Music,Urban,8,9.0
63,48234,male,4.5,Instagram,Art,Urban,0,4.5
35,65519,non-binary,2.5,TikTok,Fashion,Rural,5,8.5
27,56966,male,1.0,Instagram,Technology,Rural,14,8.5
40,56173,male,3.5,Facebook,Sports,Urban,14,3.0
46,76987,male,5.0,Twitter,Technology,Suburban,1,7.5
14,28178,male,0.5,TikTok,Music,Suburban,3,2.5
44,79338,female,3.5,Twitter,Music,Rural,5,7.5
35,64596,male,3.0,TikTok,Food,Urban,4,7.5
34,30406,male,3.5,Snapchat,Food,Suburban,10,0.0
63,81974,female,5.0,Facebook,Art,Rural,5,9.0
37,44431,male,1.5,Twitter,Food,Urban,2,1.0
34,56414,male,1.5,Instagram,Food,Rural,4,2.5
